z_angstrom,reference_electron_line_density_e_per_angstrom,displaced_electron_line_density_e_per_angstrom,electron_charge_difference_e_per_angstrom,cumulative_charge_difference_e,cumulative_dipole_difference_e_angstrom
-6.632317771218262,0.0015272485220403538,0.0015275563299455247,-3.078079051708864e-07,-6.192037369452163e-07,3.7138677115471477e-06
-6.551502885923578,0.0019779190204669787,0.0019782833326409894,-3.643121740106933e-07,-6.486455834993475e-07,3.906756054213458e-06
-6.470688000628893,0.0025616987012771087,0.0025621906606766963,-4.919593995875854e-07,-6.8840322594666e-07,4.164015354130577e-06
-6.3898731153342085,0.003320368203170529,0.0033209644627653534,-5.962595948242125e-07,-7.365898767082337e-07,4.471921938349955e-06
-6.309058230039525,0.00430739229860925,0.004308249203209968,-8.569046007177172e-07,-8.058405237237233e-07,4.908828302838592e-06
-6.22824334474484,0.005590954120073267,0.005591882890398923,-9.287703256564278e-07,-8.808989910567541e-07,5.376310702472289e-06
-6.147428459450155,0.007256252387954653,0.007257564184831966,-1.311796877312768e-06,-9.869117052267105e-07,6.028016278624234e-06
-6.066613574155471,0.009414078810350087,0.009415604357756784,-1.525547406696845e-06,-1.1101986439105192e-06,6.775950494359501e-06
-5.985798688860787,0.012205565789332923,0.012207569449107142,-2.0036597742183193e-06,-1.2721241787335457e-06,7.745204148396255e-06
-5.904983803566102,0.015808163503549917,0.015810737783696682,-2.57428014676514e-06,-1.4801643335107536e-06,8.973677892847052e-06
-5.824168918271418,0.020443344392001583,0.02044679893151814,-3.4545395165563875e-06,-1.7593425482872124e-06,1.0599658974006606e-05
-5.743354032976733,0.026394388915829937,0.02639887046306108,-4.481547231142968e-06,-2.1215182737147417e-06,1.267976238728708e-05
-5.662539147682049,0.03402729828878772,0.03403356985033758,-6.271561549857363e-06,-2.6283538009850174e-06,1.5549738401891087e-05
-5.581724262387365,0.043808866505283574,0.043816423426265454,-7.556920981879878e-06,-3.239065503316633e-06,1.895856272811936e-05
-5.50090937709268,0.056326109584203775,0.0563355813747088,-9.4717905050265e-06,-4.0045271665156305e-06,2.316929796901568e-05
-5.420094491797998,0.07231886031555795,0.07233159803264996,-1.2737717092009548e-05,-5.033924312222523e-06,2.8748727768334186e-05
-5.339279606503313,0.0927278602074343,0.09274309290259755,-1.523269516325032e-05,-6.26495282456949e-06,3.532153319933246e-05
-5.258464721208628,0.11872836165458366,0.11874760788445955,-1.9246229875896637e-05,-7.820334684345204e-06,4.350045383697092e-05
-5.177649835913945,0.15177397765472514,0.1517984101166392,-2.443246191405346e-05,-9.794841291396178e-06,5.3723757646979396e-05
-5.09683495061926,0.1936657935417119,0.19369620359619408,-3.0410054482177262e-05,-1.2252426356178434e-05,6.62496630992815e-05
-5.016020065324576,0.24665058376201204,0.2466862047602277,-3.5620998215663e-05,-1.5131133241059395e-05,8.068931459603241e-05
-4.935205180029891,0.3134908569142998,0.31353890089926806,-4.8043984968271225e-05,-1.9013802375369775e-05,9.985108342002317e-05
-4.8543902947352064,0.3975587393175265,0.39760885627396303,-5.0116956436530025e-05,-2.306399846110664e-05,0.00011951231599039874
-4.7735754094405225,0.5028184186542757,0.5028741423300123,-5.572367573658532e-05,-2.756730092395697e-05,0.00014100916988833402
-4.692760524145838,0.633856374471848,0.6339208557997587,-6.448132791070371e-05,-3.277835204270942e-05,0.0001654633848677215
-4.611945638851154,0.795580802533418,0.7956488724388053,-6.80699053873246e-05,-3.827941363860608e-05,0.00019083398190396865
-4.531130753556469,0.9924729462043071,0.9925444526948322,-7.150649052500846e-05,-4.405820246821007e-05,0.0002170184296880959
-4.450315868261785,1.2272500918574245,1.2273312224890436,-8.113063161907519e-05,-5.0614765156390925e-05,0.0002461972046605603
-4.3695009829671,1.4989449458089565,1.4990300301755588,-8.50843666022616e-05,-5.749084848372357e-05,0.00027624225751830394
-4.288686097672416,1.8008306745266822,1.8009000697317128,-6.939520503057572e-05,-6.309901401827065e-05,0.0003002939190797616
-4.207871212377731,2.119566544945471,2.1196502411661107,-8.369622063986171e-05,-6.986291448887966e-05,0.0003287555411534255
-4.1270563270830465,2.4365622694501425,2.436619131562649,-5.686211250655049e-05,-7.445821958870997e-05,0.00034772062414055715
-4.0462414417883625,2.731930225275602,2.731965558719693,-3.533344409101247e-05,-7.731368781999128e-05,0.0003592745380336777
-3.965426556493678,2.989108027131313,2.989133734177971,-2.5707046658052235e-05,-7.939119984692688e-05,0.0003675127593967231
-3.8846116711989938,3.1993125164504033,3.1993395236683067,-2.700721790338534e-05,-8.15737850639175e-05,0.0003759912554040313
-3.8037967859043094,3.362272759866706,3.362261368003646,1.1391863059984075e-05,-8.065315295743214e-05,0.000372489357956382
-3.7229819006096245,3.486859599693988,3.4868412007420697,1.8398951918463524e-05,-7.916624376859909e-05,0.0003669536219585064
-3.64216701531494,3.5876904968981846,3.5876609467235885,2.955017459616016e-05,-7.677814979817251e-05,0.0003582557848699462
-3.561352130020256,3.681766177074655,3.6817109698843105,5.5207190344575e-05,-7.231658704303388e-05,0.0003423665888487142
-3.480537244725572,3.784493372554213,3.7844421891599005,5.118339431264829e-05,-6.818020690266461e-05,0.00032796976371181574
