frequency_cm-1,normalized_intensity
9.505761843790012335e+02,1.204819277108433798e-02
9.526248399487835741e+02,1.204819277108433798e-02
9.546734955185659146e+02,1.204819277108433798e-02
9.567221510883482551e+02,1.204819277108433798e-02
9.587708066581305957e+02,1.204819277108433798e-02
9.608194622279129362e+02,1.204819277108433798e-02
9.628681177976952767e+02,1.204819277108433798e-02
9.649167733674776173e+02,1.204819277108433798e-02
9.669654289372599578e+02,1.204819277108433798e-02
9.690140845070422984e+02,1.204819277108433798e-02
9.710627400768246389e+02,1.204819277108433798e-02
9.731113956466068657e+02,1.204819277108433798e-02
9.751600512163892063e+02,1.204819277108433798e-02
9.772087067861715468e+02,1.204819277108433798e-02
9.792573623559538873e+02,1.204819277108433798e-02
9.813060179257362279e+02,1.204819277108433798e-02
9.833546734955185684e+02,1.204819277108433798e-02
9.854033290653009090e+02,1.204819277108433798e-02
9.874519846350832495e+02,1.204819277108433798e-02
9.895006402048655900e+02,1.204819277108433798e-02
9.915492957746479306e+02,1.204819277108433798e-02
9.935979513444302711e+02,1.204819277108433798e-02
9.956466069142124979e+02,1.204819277108433798e-02
9.976952624839948385e+02,1.204819277108433798e-02
9.997439180537771790e+02,1.204819277108433798e-02
1.001792573623559520e+03,1.204819277108433798e-02
1.003841229193341860e+03,1.204819277108433798e-02
1.005889884763124201e+03,1.204819277108433798e-02
1.007938540332906541e+03,1.204819277108433798e-02
1.009987195902688882e+03,1.204819277108433798e-02
1.012035851472471222e+03,1.204819277108433798e-02
1.014084507042253563e+03,1.204819277108433798e-02
1.016133162612035903e+03,1.204819277108433798e-02
1.018181818181818130e+03,1.204819277108433798e-02
1.020230473751600471e+03,1.204819277108433798e-02
1.022279129321382811e+03,1.204819277108433798e-02
1.024327784891165265e+03,1.204819277108433798e-02
1.026376440460947606e+03,1.204819277108433798e-02
1.028425096030729947e+03,1.204819277108433798e-02
1.030473751600512060e+03,1.204819277108433798e-02
1.032522407170294400e+03,1.204819277108433798e-02
1.034571062740076741e+03,1.204819277108433798e-02
1.036619718309859081e+03,1.204819277108433798e-02
1.038668373879641422e+03,1.204819277108433798e-02
1.040717029449423762e+03,1.204819277108433798e-02
1.042765685019206103e+03,1.204819277108433798e-02
1.044814340588988443e+03,1.204819277108433798e-02
1.046862996158770784e+03,1.204819277108433798e-02
1.048911651728553124e+03,1.204819277108433798e-02
1.050960307298335465e+03,1.204819277108433798e-02
1.053008962868117806e+03,1.204819277108433798e-02
1.055057618437900146e+03,1.204819277108433798e-02
1.057106274007682487e+03,1.204819277108433798e-02
1.059154929577464827e+03,1.204819277108433798e-02
1.061203585147247168e+03,1.204819277108433798e-02
1.063252240717029508e+03,1.204819277108433798e-02
1.065300896286811849e+03,1.204819277108433798e-02
1.067349551856594189e+03,1.204819277108433798e-02
1.069398207426376530e+03,1.204819277108433798e-02
1.071446862996158870e+03,1.204819277108433798e-02
1.073495518565941211e+03,1.204819277108433798e-02
1.075544174135723324e+03,1.204819277108433798e-02
1.077592829705505665e+03,1.204819277108433798e-02
1.079641485275288005e+03,1.204819277108433798e-02
1.081690140845070346e+03,1.204819277108433798e-02
1.083738796414852686e+03,1.204819277108433798e-02
1.085787451984635027e+03,1.204819277108433798e-02
1.087836107554417367e+03,1.204819277108433798e-02
1.089884763124199708e+03,1.204819277108433798e-02
1.091933418693982048e+03,1.204819277108433798e-02
1.093982074263764389e+03,1.204819277108433798e-02
1.096030729833546729e+03,1.204819277108433798e-02
1.098079385403329070e+03,1.204819277108433798e-02
1.100128040973111410e+03,1.204819277108433798e-02
1.102176696542893751e+03,1.204819277108433798e-02
1.104225352112676092e+03,1.204819277108433798e-02
1.106274007682458432e+03,1.204819277108433798e-02
1.108322663252240773e+03,1.204819277108433798e-02
1.110371318822023113e+03,1.204819277108433798e-02
1.112419974391805454e+03,1.204819277108433798e-02
1.114468629961587794e+03,1.204819277108433798e-02
1.116517285531370135e+03,1.204819277108433798e-02
1.118565941101152475e+03,1.204819277108433798e-02
